,song_name,artist,album,artist_id,song_id,popularity,explicit,duration,key,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,release_date,release_year
0,MMS,Asake,Lungu Boy,3a1tBryiczPAZpgoZN9Rzg,13VXuHw3O8Yt7VwRIDqSo4,69,False,4.0,8,0.502,0.634,-3.367,0,0.144,0.677,0.0341,0.188,0.645,101.837,2024-08-08,2024
1,Active,Asake,Active,3a1tBryiczPAZpgoZN9Rzg,2TOk5OzW5sL83ndKYZJmU7,74,True,3.0,1,0.901,0.54,-10.503,1,0.0515,0.00387,0.000154,0.0571,0.507,112.999,2024-08-06,2024
2,Mood,Asake,Lungu Boy,3a1tBryiczPAZpgoZN9Rzg,5obTyAhp9xms15FjibgrBy,64,False,3.0,5,0.707,0.711,-7.687,0,0.0792,0.623,0.137,0.107,0.7,113.977,2024-08-08,2024
3,Fuji Vibe,Asake,Lungu Boy,3a1tBryiczPAZpgoZN9Rzg,2WHM3orrvvqziSkG0xp8sy,63,False,5.0,1,0.503,0.919,-5.228,1,0.0693,0.022,0.0533,0.0626,0.746,127.904,2024-08-08,2024
4,Suru (feat. Stormzy),Asake,Lungu Boy,3a1tBryiczPAZpgoZN9Rzg,25KjMlA0KAwRKS9JuT1NSq,63,False,4.0,1,0.763,0.754,-5.538,1,0.0761,0.256,0.000463,0.19,0.592,115.099,2024-08-08,2024
5,My Heart,Asake,Lungu Boy,3a1tBryiczPAZpgoZN9Rzg,4Mq3cWI9k0DO9sMe6Ylqr2,62,False,3.0,4,0.537,0.424,-9.199,0,0.195,0.736,1.64e-05,0.124,0.455,100.51,2024-08-08,2024
6,Worldwide,Asake,Lungu Boy,3a1tBryiczPAZpgoZN9Rzg,3n7kzSJ246VvIe4lRmxV9X,63,False,3.0,5,0.533,0.425,-8.427,0,0.152,0.692,0.000158,0.118,0.464,81.084,2024-08-08,2024
7,Where Them Dey,Vokulz,Where Them Dey,5jtjgMHhSbLeEVkFC4yIe3,51RBOWI3x2jexOtTdYWAam,26,False,4.0,1,0.738,0.695,-8.646,1,0.092,0.0169,6.96e-05,0.158,0.422,99.981,2024-08-09,2024
8,Wave,Asake,Wave,3a1tBryiczPAZpgoZN9Rzg,780BUxpCmW9vOVYZsqdLLE,76,False,3.0,1,0.543,0.7,-7.831,1,0.16,0.443,0.0,0.077,0.37,111.948,2024-06-20,2024
9,Mentally,Asake,Lungu Boy,3a1tBryiczPAZpgoZN9Rzg,6IEYlownuHoYdpMikoyj58,61,False,3.0,8,0.668,0.766,-5.596,0,0.338,0.217,1.81e-05,0.113,0.573,235.907,2024-08-08,2024
10,Skating,Asake,Lungu Boy,3a1tBryiczPAZpgoZN9Rzg,5FxlRNsUFstHTDT29A1Cuh,61,False,3.0,8,0.621,0.59,-6.852,1,0.132,0.0546,0.0,0.209,0.421,113.2,2024-08-08,2024
11,Holy Water,Duncan Daniels,Holy Water,4Hbx82x5pU9EiWxl91BXmL,6W5hDqMBlbxtnTWtbRauqb,47,False,3.0,5,0.531,0.466,-8.422,1,0.0264,0.322,0.0,0.106,0.716,92.165,2024-08-09,2024
12,Uhh Yeahh,Asake,Lungu Boy,3a1tBryiczPAZpgoZN9Rzg,42Xw4kv2Wy75UugmQ4kv8P,61,False,3.0,2,0.78,0.714,-4.802,1,0.0612,0.261,0.00237,0.0959,0.426,123.982,2024-08-08,2024
13,Me & You,Eli Jae,Me & You,6dBO8lveHpWKwMEMXnWIjQ,7GQWq2bKlhGTEEkXMQkloe,45,False,3.0,0,0.772,0.623,-6.321,1,0.081,0.0868,0.00136,0.256,0.938,159.036,2024-07-24,2024
14,I Swear,Asake,Lungu Boy,3a1tBryiczPAZpgoZN9Rzg,0RHdQDaqgDwsXQujji1TSn,60,False,3.0,5,0.847,0.72,-6.023,0,0.0518,0.309,0.0,0.137,0.789,115.001,2024-08-08,2024
15,Attention,JeffreyBenson,Afro6ix Takeover,2K0UsnzELTCOU8fapfdDl0,0PEyndwzdVz6Na5oI7bLTy,44,False,3.0,4,0.791,0.757,-6.764,0,0.1,0.533,0.0657,0.175,0.496,96.014,2024-07-04,2024
16,Ligali,Asake,Lungu Boy,3a1tBryiczPAZpgoZN9Rzg,6PJNuJwkvzKammMxgrRxkU,59,False,3.0,11,0.826,0.841,-5.724,0,0.0588,0.0402,0.00293,0.0511,0.744,124.0,2024-08-08,2024
17,Fashion Killer,Iyanya,Fashion Killer,3ZUn6LYxdmmPYQqBhFWI3h,1j5hSr4QLeAdAFyr6sbZUT,41,False,2.0,10,0.86,0.528,-8.653,0,0.126,0.00482,0.0017,0.0807,0.508,102.011,2024-08-02,2024
18,Whine,Asake,Lungu Boy,3a1tBryiczPAZpgoZN9Rzg,1RMEvuPu0Lq5GzBedlzEdA,59,False,3.0,4,0.765,0.847,-1.832,0,0.0566,0.128,0.0,0.0485,0.794,92.97,2024-08-08,2024
19,Namtaka (feat. LeeMcKrazy & Raspy),Rayvanny,"ZiiBeats, Vol. 2",7G9dCn1mqomAa0ucJoBm6J,0cdvAIt8CnzNADSnB0syeg,33,False,4.0,7,0.798,0.579,-10.945,0,0.0433,0.449,0.000323,0.113,0.37,115.021,2024-08-02,2024
20,Higher,Burna Boy,Higher,3wcj11K77LjEY1PkEazffa,1N8G6PUj14v0VG8evbRSxp,73,False,2.0,0,0.773,0.526,-8.686,1,0.0937,0.0876,0.000709,0.235,0.839,116.966,2024-06-27,2024
21,BOMBING,DJ 808,BOMBING,3SsrfKWSui6m0RYGGjP8Eg,0dtwzfXcb6lKIkuFw7w8nC,53,False,3.0,1,0.776,0.447,-14.068,1,0.112,0.205,0.00024,0.34,0.334,111.948,2024-06-28,2024
22,Doha,Seyi Vibez,Loseyi Professor,4zmZ8lVLzGc84S4v2B1rLx,5hphSVebVxTpDfrk09W0hS,69,False,3.0,5,0.534,0.691,-8.121,0,0.428,0.421,6.88e-05,0.155,0.343,203.894,2024-07-12,2024
